date,nav,Daily_Return,MA_30
2013-11-18,13.0894,,
2013-11-19,13.1068,0.1329319907711568,
2013-11-20,12.9549,-1.1589403973509937,
2013-11-21,12.7957,-1.228878648233489,
2013-11-22,12.7775,-0.14223528216510406,
2013-11-25,12.8548,0.6049696732537635,
2013-11-26,12.8591,0.03345053987615643,
2013-11-27,12.8389,-0.15708719894860224,
2013-11-28,12.8773,0.29909104362522143,
2013-11-29,12.9509,0.5715483835897261,
2013-12-02,13.0012,0.38838999606205515,
2013-12-03,13.0048,0.02768975171520971,
2013-12-04,12.9799,-0.19146776574802127,
2013-12-05,13.0319,0.40061941925593203,
2013-12-06,13.0439,0.09208173788932683,
2013-12-09,13.0282,-0.12036277493694403,
2013-12-10,13.0325,0.03300532690624358,
2013-12-11,13.0129,-0.15039324765010464,
2013-12-12,13.0021,-0.08299456692973939,
2013-12-13,12.9891,-0.09998384876289679,
2013-12-16,13.0345,0.3495238315202709,
2013-12-17,12.9569,-0.5953431278530097,
2013-12-18,13.0672,0.8512838719138216,
2013-12-19,13.1392,0.5509979184523228,
2013-12-20,13.1776,0.2922552362396358,
2013-12-23,13.1886,0.08347498785816754,
2013-12-24,13.2683,0.6043097826911259,
2013-12-26,13.4811,1.6038226449507365,
2013-12-27,13.5024,0.1579989763446532,
2013-12-30,13.5862,0.6206304064462653,13.05446
2013-12-31,13.7277,1.0414979906081312,13.075736666666666
2014-01-01,13.7418,0.1027120347909527,13.096903333333334
2014-01-02,13.7553,0.09824040518708888,13.123583333333334
2014-01-03,13.8494,0.6840999469295506,13.158706666666667
2014-01-06,13.8568,0.053431917628210535,13.194683333333332
2014-01-07,13.9214,0.46619710178397167,13.230236666666666
2014-01-08,14.0081,0.6227821914462695,13.268536666666668
2014-01-09,13.8644,-1.025835052576729,13.302719999999999
2014-01-10,13.8143,-0.3613571449179176,13.333953333333334
2014-01-13,13.7909,-0.16938969039328455,13.361953333333334
2014-01-14,13.8249,0.24653938466669967,13.38941
2014-01-15,14.0209,1.417731773828379,13.423280000000002
2014-01-16,14.0042,-0.11910790320164288,13.457423333333333
2014-01-17,13.7841,-1.5716713557361373,13.482496666666666
2014-01-20,13.8144,0.21981848651706493,13.508180000000001
2014-01-21,13.8659,0.3727993977299171,13.536103333333333
2014-01-22,13.9302,0.4637275618603942,13.566026666666666
2014-01-23,13.9537,0.1686982240025392,13.597386666666665
2014-01-24,13.8688,-0.608440771981622,13.626276666666666
2014-01-27,13.6829,-1.340418781725894,13.649403333333334
2014-01-28,13.5678,-0.8411959453039963,13.66718
